nohup: ignoring input
运行模式: train
项目目录: /root/autodl-tmp/MokioMind
日志文件: /root/autodl-tmp/MokioMind/logs/sft_train_20260905_125109.log
执行命令:
/root/autodl-tmp/MokioMind/.venv/bin/python3 /root/autodl-tmp/MokioMind/trainer/train_full_sft.py --data_path dataset/advertisegen/advertisegen_sft_train.jsonl --val_data_path dataset/advertisegen/advertisegen_sft_val.jsonl --from_weight pretrain --save_dir out --hidden_size 512 --num_hidden_layers 8 --max_seq_len 512 --epochs 1 --batch_size 8 --accumulation_steps 1 --learning_rate 1e-06 --dtype bfloat16 --num_workers 2 --smoke_max_new_tokens 128 --use_compile 0 --checkpoint_dir checkpoints/advertise_sft_ep1 --save_weight advertise_sft_ep1 --max_steps 0 --val_batches 0 --val_interval 0 --log_interval 50 --save_interval 500 --smoke_generate_samples 5
================================================================================
所加载Model可训练参数：25.830 百万
Epoch:[1/1] batch:5400/9819, optimizer_step:5400, loss:2.4519, grad_norm:2.5653, lr:0.00000048, elapsed:4.8min
Epoch:[1/1] batch:5450/9819, optimizer_step:5450, loss:2.5843, grad_norm:2.5291, lr:0.00000047, elapsed:4.9min
Epoch:[1/1] batch:5500/9819, optimizer_step:5500, loss:2.3607, grad_norm:2.5684, lr:0.00000047, elapsed:4.9min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:5550/9819, optimizer_step:5550, loss:2.5252, grad_norm:2.6438, lr:0.00000046, elapsed:4.9min
Epoch:[1/1] batch:5600/9819, optimizer_step:5600, loss:2.3560, grad_norm:2.5104, lr:0.00000045, elapsed:5.0min
Epoch:[1/1] batch:5650/9819, optimizer_step:5650, loss:2.5501, grad_norm:2.7438, lr:0.00000044, elapsed:5.0min
Epoch:[1/1] batch:5700/9819, optimizer_step:5700, loss:2.6061, grad_norm:2.4450, lr:0.00000044, elapsed:5.1min
Epoch:[1/1] batch:5750/9819, optimizer_step:5750, loss:2.5186, grad_norm:2.5455, lr:0.00000043, elapsed:5.1min
Epoch:[1/1] batch:5800/9819, optimizer_step:5800, loss:2.5423, grad_norm:2.6849, lr:0.00000042, elapsed:5.2min
Epoch:[1/1] batch:5850/9819, optimizer_step:5850, loss:2.5149, grad_norm:2.6110, lr:0.00000042, elapsed:5.2min
Epoch:[1/1] batch:5900/9819, optimizer_step:5900, loss:2.5498, grad_norm:2.5090, lr:0.00000041, elapsed:5.3min
Epoch:[1/1] batch:5950/9819, optimizer_step:5950, loss:2.3421, grad_norm:2.5110, lr:0.00000040, elapsed:5.3min
Epoch:[1/1] batch:6000/9819, optimizer_step:6000, loss:2.5317, grad_norm:2.5277, lr:0.00000040, elapsed:5.3min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:6050/9819, optimizer_step:6050, loss:2.2349, grad_norm:2.4925, lr:0.00000039, elapsed:5.4min
Epoch:[1/1] batch:6100/9819, optimizer_step:6100, loss:2.4537, grad_norm:2.7633, lr:0.00000038, elapsed:5.4min
Epoch:[1/1] batch:6150/9819, optimizer_step:6150, loss:2.4952, grad_norm:2.4944, lr:0.00000038, elapsed:5.5min
Epoch:[1/1] batch:6200/9819, optimizer_step:6200, loss:2.4634, grad_norm:2.3664, lr:0.00000037, elapsed:5.5min
Epoch:[1/1] batch:6250/9819, optimizer_step:6250, loss:2.5369, grad_norm:2.5812, lr:0.00000036, elapsed:5.6min
Epoch:[1/1] batch:6300/9819, optimizer_step:6300, loss:2.5174, grad_norm:2.7592, lr:0.00000036, elapsed:5.6min
Epoch:[1/1] batch:6350/9819, optimizer_step:6350, loss:2.2056, grad_norm:2.5779, lr:0.00000035, elapsed:5.7min
Epoch:[1/1] batch:6400/9819, optimizer_step:6400, loss:2.5927, grad_norm:2.7559, lr:0.00000034, elapsed:5.7min
